Radius,Normalized_Density
0.093,4.298834221009681
0.0935,4.281481300850684
0.094,4.2636593828495535
0.0945,4.246306462690558
0.095,4.228953542531562
0.0955,4.211600622372565
0.096,4.19424770221357
0.0965,4.177363779896708
0.097,4.160010859737712
0.0975,4.142657939578716
0.098,4.125774017261855
0.0985,4.108890094944993
0.099,4.091537174785998
0.0995,4.074653252469137
0.1,4.057769330152276
0.1005,4.040885407835415
0.101,4.024470483360688
0.1015,4.007586561043827
0.102,3.9907026387269653
0.1025,3.9742877142522404
0.103,3.9578727897775146
0.1035,3.9409888674606535
0.104,3.9245739429859285
0.1045,3.9081590185112005
0.105,3.8917440940364747
0.1055,3.8757981674038837
0.106,3.859383242929158
0.1065,3.842968318454432
0.107,3.8270223918218402
0.1075,3.8110764651892506
0.108,3.7946615407145234
0.1085,3.778715614081932
0.109,3.7627696874493424
0.1095,3.7468237608167514
0.11,3.7313468320262952
0.1105,3.7154009053937043
0.111,3.699923976603248
0.1115,3.6839780499706563
0.112,3.6685011211802006
0.1125,3.653024192389745
0.113,3.6375472635992896
0.1135,3.6220703348088334
0.114,3.6065934060183777
0.1145,3.591116477227921
0.115,3.5761085462796
0.1155,3.5606316174891446
0.116,3.5456236865408233
0.1165,3.5301467577503676
0.117,3.5151388268020463
0.1175,3.500130895853725
0.118,3.485122964905404
0.1185,3.4701150339570837
0.119,3.4555761008508976
0.1195,3.4405681699025767
0.12,3.4260292367963907
0.1205,3.4110213058480703
0.121,3.3964823727418842
0.1215,3.381943439635698
0.122,3.3674045065295117
0.1225,3.352865573423326
0.123,3.33832664031714
0.1235,3.324256705053089
0.124,3.309717771946903
0.1245,3.295178838840718
0.125,3.2811089035766665
0.1255,3.2670389683126153
0.126,3.252969033048565
0.1265,3.2388990977845142
0.127,3.2248291625204635
0.1275,3.2107592272564123
0.128,3.1966892919923606
0.1285,3.183088354570446
0.129,3.169018419306394
0.1295,3.155417481884479
0.13,3.1413475466204277
0.1305,3.1277466091985113
0.131,3.114145671776596
0.1315,3.10054473435468
0.132,3.0869437969327636
0.1325,3.0738118573529842
0.133,3.0602109199310674
0.1335,3.047078980351287
0.134,3.033478042929371
0.1345,3.0203461033495906
0.135,3.007214163769809
0.1355,2.994082224190029
0.136,2.980950284610248
0.1365,2.9678183450304667
0.137,2.9546864054506856
0.1375,2.941554465870905
0.138,2.9288915241332596
0.1385,2.9157595845534785
